credit_score,monthly_income,age,existing_emis,employment_type,loan_amount,property_owned,annual_income,dti_ratio,income_to_loan_ratio,approved
593,71049,47,28288,2,2900000,0,852588,0.3981,0.294,0
715,161362,21,49203,2,2600000,0,1936344,0.3049,0.7447,1
759,52792,31,15478,3,1600000,0,633504,0.2932,0.3959,1
713,43043,34,11284,0,400000,0,516516,0.2622,1.2913,1
690,41959,21,14442,0,1200000,0,503508,0.3442,0.4196,0
675,52819,24,9878,1,600000,0,633828,0.187,1.0564,1
581,29822,26,1782,0,2300000,0,357864,0.0598,0.1556,0
642,52686,44,12785,0,700000,1,632232,0.2427,0.9032,0
663,64246,27,21628,1,4400000,0,770952,0.3366,0.1752,0
784,55592,26,3843,0,4200000,1,667104,0.0691,0.1588,1
727,64506,43,6502,0,2700000,1,774072,0.1008,0.2867,1
558,63592,21,19932,0,600000,0,763104,0.3134,1.2718,0
725,16930,21,2054,3,800000,0,203160,0.1213,0.2539,0
669,71834,31,5493,0,1700000,0,862008,0.0765,0.5071,1
645,32774,21,13117,0,600000,0,393288,0.4002,0.6555,0
748,25399,21,1838,3,1200000,1,304788,0.0724,0.254,0
782,25268,40,3913,0,800000,1,303216,0.1549,0.379,1
774,63584,43,12258,0,4000000,1,763008,0.1928,0.1908,1
632,42892,42,9190,0,2200000,1,514704,0.2143,0.234,0
675,17868,46,2905,0,1200000,1,214416,0.1626,0.1787,0
726,65304,47,26816,0,600000,1,783648,0.4106,1.3061,1
778,20665,21,6124,2,500000,0,247980,0.2963,0.496,1
661,53310,39,8624,0,2600000,0,639720,0.1618,0.246,0
685,56562,29,9105,1,4200000,1,678744,0.161,0.1616,1
611,83395,27,18874,0,5700000,0,1000740,0.2263,0.1756,0
604,142772,40,2162,0,8400000,0,1713264,0.0151,0.204,0
765,21616,21,9013,0,1000000,1,259392,0.417,0.2594,0
808,47501,21,4773,0,2600000,0,570012,0.1005,0.2192,1
694,41531,41,13037,0,900000,0,498372,0.3139,0.5537,0
780,63592,39,22255,0,3300000,1,763104,0.35,0.2312,1
728,55792,36,20772,0,2400000,1,669504,0.3723,0.279,1
648,39674,26,2957,1,1400000,0,476088,0.0745,0.3401,0
728,37626,42,9087,0,2800000,0,451512,0.2415,0.1613,0
823,25087,41,944,0,1700000,1,301044,0.0376,0.1771,1
697,88673,35,32113,1,1000000,1,1064076,0.3622,1.0641,0
825,64571,23,14134,0,5300000,0,774852,0.2189,0.1462,1
490,85021,30,6063,2,2000000,0,1020252,0.0713,0.5101,0
765,40691,43,13159,1,900000,0,488292,0.3234,0.5425,1
706,33054,48,4925,3,2600000,0,396648,0.149,0.1526,0
676,25668,31,1322,0,1000000,1,308016,0.0515,0.308,1
707,60800,32,12614,3,4100000,1,729600,0.2075,0.178,1
540,26268,33,2780,1,700000,0,315216,0.1058,0.4503,0
682,148627,37,63552,1,11000000,1,1783524,0.4276,0.1621,0
728,22368,29,3637,2,1500000,1,268416,0.1626,0.1789,0
818,57768,21,14881,0,2600000,1,693216,0.2576,0.2666,1
658,125506,46,53561,2,7600000,1,1506072,0.4268,0.1982,0
635,70224,52,12441,0,5700000,1,842688,0.1772,0.1478,0
659,54469,28,8778,0,2200000,0,653628,0.1612,0.2971,1
773,27416,24,2003,0,1200000,1,328992,0.0731,0.2742,1
726,21395,33,9033,0,1300000,0,256740,0.4222,0.1975,0
657,77810,33,28037,0,2800000,0,933720,0.3603,0.3335,1
741,121017,44,12035,4,9700000,1,1452204,0.0994,0.1497,1
707,37672,35,5639,1,300000,0,452064,0.1497,1.5069,1
777,24749,27,10189,1,900000,0,296988,0.4117,0.33,0
643,11216,21,2711,1,600000,1,134592,0.2417,0.2243,0
673,27215,43,6813,0,1000000,0,326580,0.2503,0.3266,0
668,45789,40,13355,0,1200000,0,549468,0.2917,0.4579,1
582,127960,45,43886,0,4800000,1,1535520,0.343,0.3199,0
723,73414,25,31030,0,5400000,0,880968,0.4227,0.1631,1
720,58867,53,21251,1,2800000,0,706404,0.361,0.2523,1
700,38558,21,16215,2,1200000,0,462696,0.4205,0.3856,0
681,34547,42,12757,0,2000000,0,414564,0.3693,0.2073,0
586,113935,21,2380,0,6100000,0,1367220,0.0209,0.2241,0
666,55295,27,2924,0,2700000,0,663540,0.0529,0.2458,1
672,13883,50,5528,0,500000,0,166596,0.3982,0.3332,0
635,32724,43,407,0,300000,0,392688,0.0124,1.309,1
687,29292,29,10468,0,1500000,0,351504,0.3574,0.2343,0
732,35321,29,13507,0,1300000,0,423852,0.3824,0.326,0
850,68716,36,12847,2,2700000,0,824592,0.187,0.3054,1
713,45960,40,7339,0,1100000,0,551520,0.1597,0.5014,1
720,46811,47,4095,1,1100000,0,561732,0.0875,0.5107,1
694,107805,30,2373,1,7200000,1,1293660,0.022,0.1797,1
546,32277,21,10826,0,1400000,0,387324,0.3354,0.2767,0
697,150019,36,4977,2,2100000,1,1800228,0.0332,0.8573,1
704,32768,30,13929,0,300000,0,393216,0.4251,1.3107,1
850,51715,21,6905,0,1200000,0,620580,0.1335,0.5171,1
684,41410,37,14800,0,1800000,1,496920,0.3574,0.2761,0
724,52788,32,1417,1,2800000,0,633456,0.0268,0.2262,1
697,64007,38,15446,0,1100000,1,768084,0.2413,0.6983,1
606,63595,26,9990,0,2500000,0,763140,0.1571,0.3053,0
791,31198,39,421,0,300000,1,374376,0.0135,1.2479,1
760,24990,21,7374,0,200000,0,299880,0.2951,1.4994,1
763,220114,26,93421,1,16100000,1,2641368,0.4244,0.1641,1
627,36666,32,177,2,2100000,1,439992,0.0048,0.2095,0
812,74572,52,9075,0,4900000,1,894864,0.1217,0.1826,1
587,18683,42,5915,0,300000,0,224196,0.3166,0.7473,0
746,41449,45,16250,3,1200000,1,497388,0.392,0.4145,0
850,45418,49,3899,1,1800000,0,545016,0.0858,0.3028,1
620,65100,65,2071,1,3700000,1,781200,0.0318,0.2111,1
654,9571,35,37,0,400000,1,114852,0.0039,0.2871,1
707,54159,49,5244,0,2600000,0,649908,0.0968,0.25,1
659,24591,45,789,2,400000,1,295092,0.0321,0.7377,0
575,59552,44,9630,0,2500000,0,714624,0.1617,0.2858,0
705,26323,52,5213,1,1800000,1,315876,0.198,0.1755,0
615,29340,30,6336,1,1300000,0,352080,0.216,0.2708,0
737,41598,30,2664,0,800000,1,499176,0.064,0.624,1
626,26071,38,5443,1,900000,0,312852,0.2088,0.3476,0
823,36852,33,150,0,2300000,0,442224,0.0041,0.1923,1
637,23956,38,2581,1,300000,0,287472,0.1077,0.9582,0
674,16319,50,2710,4,800000,0,195828,0.1661,0.2448,0
765,90289,30,4808,3,7300000,0,1083468,0.0533,0.1484,1
601,22524,31,8250,2,800000,0,270288,0.3663,0.3379,0
718,44037,36,3987,0,400000,0,528444,0.0905,1.3211,1
804,77013,32,26161,1,4200000,1,924156,0.3397,0.22,1
571,33895,21,7228,1,300000,0,406740,0.2132,1.3558,0
714,29878,29,6450,0,600000,1,358536,0.2159,0.5976,1
720,56147,41,16301,0,500000,1,673764,0.2903,1.3475,1
762,95871,49,1910,0,1800000,1,1150452,0.0199,0.6391,1
601,24304,23,861,0,1700000,0,291648,0.0354,0.1716,0
594,44797,23,6588,2,2800000,0,537564,0.1471,0.192,0
741,17335,35,3251,0,500000,1,208020,0.1875,0.416,1
723,38718,21,7490,0,2900000,0,464616,0.1935,0.1602,0
720,50037,30,15241,0,2800000,0,600444,0.3046,0.2144,1
727,29355,21,9,2,1200000,0,352260,0.0003,0.2935,0
645,37264,48,16083,3,400000,0,447168,0.4316,1.1179,0
718,21058,27,1653,0,1300000,0,252696,0.0785,0.1944,0
723,51341,51,5744,1,1800000,0,616092,0.1119,0.3423,1
642,92356,46,37638,0,2700000,0,1108272,0.4075,0.4105,1
849,25379,28,62,0,700000,0,304548,0.0024,0.4351,1
737,33738,24,15050,1,200000,0,404856,0.4461,2.0243,0
604,66272,33,1072,0,4200000,1,795264,0.0162,0.1893,0
752,101443,33,5502,0,1700000,1,1217316,0.0542,0.7161,1
622,20011,38,2162,0,900000,1,240132,0.108,0.2668,0
762,44299,27,8745,0,300000,1,531588,0.1974,1.772,1
792,58097,42,13554,0,3100000,0,697164,0.2333,0.2249,1
634,46109,37,2172,0,1600000,1,553308,0.0471,0.3458,0
777,11091,31,367,1,600000,0,133092,0.0331,0.2218,1
733,66214,27,949,0,800000,0,794568,0.0143,0.9932,1
765,121978,33,14093,0,3200000,0,1463736,0.1155,0.4574,1
850,52575,26,21802,0,700000,1,630900,0.4147,0.9013,1
680,26405,35,4632,2,1400000,0,316860,0.1754,0.2263,0
639,36030,35,12387,1,500000,0,432360,0.3438,0.8647,0
628,141768,37,12133,4,7600000,0,1701216,0.0856,0.2238,0
634,84624,52,2463,0,1300000,0,1015488,0.0291,0.7811,1
693,71970,33,17951,1,5700000,0,863640,0.2494,0.1515,0
727,60709,45,22458,0,2300000,0,728508,0.3699,0.3167,1
722,32968,37,13329,1,500000,1,395616,0.4043,0.7912,0
766,43462,32,10682,0,400000,1,521544,0.2458,1.3039,1
701,46781,33,6189,1,1400000,0,561372,0.1323,0.401,1
816,68168,34,3359,0,5100000,0,818016,0.0493,0.1604,1
678,121218,37,36428,0,2000000,1,1454616,0.3005,0.7273,1
850,95894,25,12101,1,6400000,1,1150728,0.1262,0.1798,1
750,20918,21,7944,2,800000,1,251016,0.3798,0.3138,1
631,56072,41,15268,0,3800000,0,672864,0.2723,0.1771,0
614,76271,43,29478,3,5600000,0,915252,0.3865,0.1634,0
738,71062,42,18120,0,5900000,0,852744,0.255,0.1445,1
682,33605,36,11670,1,300000,0,403260,0.3473,1.3442,0
757,281662,42,37302,3,19100000,0,3379944,0.1324,0.177,1
737,22782,42,5157,0,200000,0,273384,0.2264,1.3669,1
694,25593,42,223,0,700000,1,307116,0.0087,0.4387,0
632,56396,26,15425,0,3100000,0,676752,0.2735,0.2183,0
578,174570,24,41928,0,7100000,1,2094840,0.2402,0.295,0
664,29681,31,10087,1,1400000,1,356172,0.3398,0.2544,0
768,41793,34,13709,1,3400000,1,501516,0.328,0.1475,1
717,93561,32,26424,3,6500000,1,1122732,0.2824,0.1727,0
600,48498,21,1237,0,1600000,0,581976,0.0255,0.3637,0
713,40104,52,16296,0,2100000,1,481248,0.4063,0.2292,0
730,68828,32,558,0,600000,0,825936,0.0081,1.3766,1
629,57728,36,20866,2,2300000,0,692736,0.3615,0.3012,0
712,90968,47,19622,0,4800000,0,1091616,0.2157,0.2274,1
704,106391,21,39162,4,6500000,1,1276692,0.3681,0.1964,1
608,58935,29,12334,0,4400000,0,707220,0.2093,0.1607,0
728,58398,31,17000,1,1600000,0,700776,0.2911,0.438,1
744,55740,31,9111,0,4200000,1,668880,0.1635,0.1593,1
786,65741,33,22000,2,3700000,0,788892,0.3346,0.2132,1
784,50670,49,5795,0,600000,1,608040,0.1144,1.0134,1
589,49002,41,15862,1,1700000,0,588024,0.3237,0.3459,0
624,100506,44,8746,1,4300000,0,1206072,0.087,0.2805,0
741,121743,35,39563,0,4000000,1,1460916,0.325,0.3652,1
741,19840,21,2621,0,200000,0,238080,0.1321,1.1904,1
741,49316,21,6183,2,2400000,1,591792,0.1254,0.2466,1
850,32428,21,11841,0,500000,0,389136,0.3651,0.7783,1
745,40676,38,14893,2,3100000,1,488112,0.3661,0.1575,0
790,62411,35,19418,1,4500000,0,748932,0.3111,0.1664,1
776,73252,32,30455,0,3100000,0,879024,0.4158,0.2836,1
752,45831,31,3221,0,500000,0,549972,0.0703,1.0999,1
674,15552,55,1884,1,700000,1,186624,0.1211,0.2666,0
760,27473,26,3634,1,1400000,0,329676,0.1323,0.2355,1
638,83943,44,11531,2,6300000,0,1007316,0.1374,0.1599,0
681,9468,35,1397,0,100000,0,113616,0.1475,1.1361,0
661,99953,34,31350,3,5900000,0,1199436,0.3136,0.2033,0
706,67019,46,8165,0,3300000,0,804228,0.1218,0.2437,1
850,107980,49,13893,2,2100000,1,1295760,0.1287,0.617,1
550,43514,32,11169,0,600000,0,522168,0.2567,0.8703,0
754,14230,42,1238,0,800000,0,170760,0.087,0.2134,1
570,63463,38,10420,0,2000000,1,761556,0.1642,0.3808,1
662,105323,35,2746,0,8800000,1,1263876,0.0261,0.1436,1
787,85377,37,36596,4,6400000,1,1024524,0.4286,0.1601,1
705,32938,28,4703,0,1600000,1,395256,0.1428,0.247,1
613,51640,31,19753,0,2800000,0,619680,0.3825,0.2213,0
642,35607,29,8491,0,600000,0,427284,0.2385,0.7121,0
754,29984,44,3079,0,2200000,1,359808,0.1027,0.1635,1
641,86962,34,7569,0,3600000,1,1043544,0.087,0.2899,1
717,23896,22,7473,0,1100000,1,286752,0.3127,0.2607,1
703,28672,27,12449,0,2100000,0,344064,0.4342,0.1638,0
647,25275,21,2082,0,100000,0,303300,0.0824,3.033,0
850,20047,30,1041,0,800000,0,240564,0.0519,0.3007,1
750,53522,35,9323,0,2900000,1,642264,0.1742,0.2215,1
537,98410,33,17439,1,1800000,0,1180920,0.1772,0.6561,0
714,43873,54,15917,1,400000,0,526476,0.3628,1.3162,1
647,19861,40,4190,1,900000,0,238332,0.211,0.2648,0
768,81142,40,2280,3,3900000,1,973704,0.0281,0.2497,1
636,134782,21,55840,2,4200000,1,1617384,0.4143,0.3851,0
690,33264,31,5586,0,2400000,1,399168,0.1679,0.1663,0
740,36785,30,11066,0,1000000,0,441420,0.3008,0.4414,1
769,66795,27,20063,2,3000000,0,801540,0.3004,0.2672,1
603,129718,27,3288,1,2600000,1,1556616,0.0253,0.5987,1
673,35885,21,58,0,200000,0,430620,0.0016,2.1531,1
662,22038,22,873,0,800000,0,264456,0.0396,0.3306,0
647,71600,43,30819,4,3300000,1,859200,0.4304,0.2604,0
841,79176,33,28289,2,5100000,0,950112,0.3573,0.1863,1
732,49201,29,2922,0,2000000,0,590412,0.0594,0.2952,1
599,35070,34,9703,3,900000,0,420840,0.2767,0.4676,0
773,89020,46,24515,4,4700000,1,1068240,0.2754,0.2273,1
850,67293,35,16,0,2400000,0,807516,0.0002,0.3365,1
782,30913,40,5968,2,700000,0,370956,0.1931,0.5299,1
578,50486,26,16170,2,3800000,0,605832,0.3203,0.1594,0
661,21784,28,1831,0,1000000,1,261408,0.0841,0.2614,0
801,73978,38,28326,1,1600000,1,887736,0.3829,0.5548,1
643,41884,53,12445,0,2400000,0,502608,0.2971,0.2094,0
735,37743,49,117,1,2500000,1,452916,0.0031,0.1812,1
761,48063,40,18490,2,3100000,1,576756,0.3847,0.1861,1
625,50220,36,438,0,2600000,1,602640,0.0087,0.2318,1
695,83864,49,33509,0,3900000,1,1006368,0.3996,0.258,1
440,69888,42,10495,3,4600000,0,838656,0.1502,0.1823,0
618,44629,21,14031,4,2700000,1,535548,0.3144,0.1984,0
679,77512,24,27465,0,3900000,0,930144,0.3543,0.2385,1
600,62345,38,7891,3,3500000,1,748140,0.1266,0.2138,0
830,37950,21,6087,0,700000,0,455400,0.1604,0.6506,1
585,45486,26,10429,0,300000,1,545832,0.2293,1.8194,0
664,44849,28,11759,1,3500000,1,538188,0.2622,0.1538,1
710,66380,32,8723,1,5200000,1,796560,0.1314,0.1532,1
815,39331,32,17564,1,2600000,1,471972,0.4466,0.1815,1
585,38783,32,12862,0,1300000,0,465396,0.3316,0.358,0
793,159732,43,19705,0,2800000,1,1916784,0.1234,0.6846,1
700,86149,32,24827,3,2900000,0,1033788,0.2882,0.3565,1
621,31058,31,6084,0,1900000,0,372696,0.1959,0.1962,0
736,69048,21,26731,0,2200000,1,828576,0.3871,0.3766,1
715,52628,45,7790,2,3500000,1,631536,0.148,0.1804,1
651,62002,28,5241,1,3600000,0,744024,0.0845,0.2067,1
705,53231,24,1105,0,2900000,0,638772,0.0208,0.2203,1
669,100086,37,44332,0,7800000,0,1201032,0.4429,0.154,0
709,60317,27,9750,2,4500000,0,723804,0.1616,0.1608,1
752,47228,29,4686,4,2900000,1,566736,0.0992,0.1954,1
826,91611,37,20273,0,1900000,1,1099332,0.2213,0.5786,1
600,56385,31,7399,0,4400000,0,676620,0.1312,0.1538,0
850,52727,58,5526,0,1200000,0,632724,0.1048,0.5273,1
543,59184,34,16416,2,2000000,1,710208,0.2774,0.3551,0
687,46343,41,1560,0,3200000,1,556116,0.0337,0.1738,1
747,49292,21,11290,1,1000000,0,591504,0.229,0.5915,1
722,34474,26,6010,0,1900000,0,413688,0.1743,0.2177,1
650,31235,24,7485,0,1300000,1,374820,0.2396,0.2883,0
683,26926,25,3882,2,1400000,1,323112,0.1442,0.2308,0
660,21264,39,5457,0,1700000,0,255168,0.2566,0.1501,0
652,28916,45,1064,2,1900000,1,346992,0.0368,0.1826,0
767,44154,38,7474,0,1200000,0,529848,0.1693,0.4415,1
728,52149,32,5573,0,500000,0,625788,0.1069,1.2516,1
644,41656,28,8212,0,3300000,0,499872,0.1971,0.1515,0
771,11927,46,2137,0,600000,1,143124,0.1792,0.2385,1
724,126090,55,35813,0,2400000,0,1513080,0.284,0.6304,1
765,94078,36,26618,2,5100000,1,1128936,0.2829,0.2214,1
750,64052,44,11914,0,500000,0,768624,0.186,1.5372,1
633,153967,38,12583,2,3100000,0,1847604,0.0817,0.596,1
655,27271,42,7141,0,1500000,0,327252,0.2619,0.2182,0
759,152142,23,66171,0,5600000,1,1825704,0.4349,0.326,1
748,27470,30,2292,0,800000,0,329640,0.0834,0.412,1
698,56570,38,1758,2,3200000,1,678840,0.0311,0.2121,1
709,22826,47,2717,0,1600000,0,273912,0.119,0.1712,0
802,49454,26,9189,0,2900000,1,593448,0.1858,0.2046,1
652,61802,21,8515,0,2600000,0,741624,0.1378,0.2852,1
743,44675,30,16780,0,2500000,0,536100,0.3756,0.2144,1
683,75231,45,16690,0,4500000,1,902772,0.2219,0.2006,1
682,52021,21,5761,0,3400000,0,624252,0.1107,0.1836,0
787,35830,23,15320,0,1000000,0,429960,0.4276,0.43,1
766,34888,36,1963,0,500000,1,418656,0.0563,0.8373,1
765,79741,33,4410,1,4700000,0,956892,0.0553,0.2036,1
804,33115,40,3655,2,500000,1,397380,0.1104,0.7948,1
701,84901,22,2933,1,3500000,0,1018812,0.0345,0.2911,1
754,102091,31,34531,0,2400000,0,1225092,0.3382,0.5105,1
675,18011,46,2535,0,500000,0,216132,0.1407,0.4323,0
725,96737,23,31771,2,4100000,0,1160844,0.3284,0.2831,1
689,168763,49,57924,0,12800000,1,2025156,0.3432,0.1582,0
707,57022,24,6094,0,3300000,1,684264,0.1069,0.2074,1
747,70224,43,16380,2,1300000,1,842688,0.2333,0.6482,1
634,91327,31,21353,4,6800000,1,1095924,0.2338,0.1612,0
850,41552,23,16293,2,1800000,1,498624,0.3921,0.277,1
619,54686,30,630,4,1100000,0,656232,0.0115,0.5966,1
602,22280,40,3176,2,1000000,0,267360,0.1425,0.2674,0
792,53272,34,21155,1,1100000,1,639264,0.3971,0.5811,1
763,66096,46,7043,0,2200000,1,793152,0.1066,0.3605,1
749,66815,49,4115,3,4500000,0,801780,0.0616,0.1782,0
750,92897,23,24084,2,5300000,0,1114764,0.2593,0.2103,1
699,30795,22,4238,0,1300000,1,369540,0.1376,0.2843,0
628,35611,21,7488,0,800000,0,427332,0.2103,0.5342,0
706,152864,26,56407,0,4200000,1,1834368,0.369,0.4368,1
645,44792,46,10495,3,3600000,1,537504,0.2343,0.1493,0
778,55271,40,12831,0,1800000,0,663252,0.2321,0.3685,1
688,47088,29,5894,0,2500000,0,565056,0.1252,0.226,1
633,29941,34,10682,0,1300000,0,359292,0.3568,0.2764,0
674,129847,49,43228,4,1000000,0,1558164,0.3329,1.5582,0
733,35716,54,3762,1,2800000,0,428592,0.1053,0.1531,0
654,24925,37,3589,0,300000,0,299100,0.144,0.997,0
634,37404,21,13274,0,2100000,1,448848,0.3549,0.2137,0
719,14749,37,2374,0,1000000,1,176988,0.161,0.177,1
719,33164,44,6022,0,2100000,0,397968,0.1816,0.1895,0
659,27422,37,4496,0,1800000,0,329064,0.164,0.1828,0
662,71001,42,5164,0,4500000,0,852012,0.0727,0.1893,1
718,32726,38,5020,0,1300000,0,392712,0.1534,0.3021,1
584,83506,22,30172,0,6300000,1,1002072,0.3613,0.1591,0
587,113446,26,25069,0,8700000,1,1361352,0.221,0.1565,0
642,78331,31,16151,3,3100000,0,939972,0.2062,0.3032,0
682,43077,45,3030,0,1800000,0,516924,0.0703,0.2872,1
724,53352,27,4263,0,2300000,0,640224,0.0799,0.2784,1
818,19633,39,379,0,500000,1,235596,0.0193,0.4712,1
768,45239,38,284,0,600000,1,542868,0.0063,0.9048,1
687,29252,50,6423,0,700000,1,351024,0.2196,0.5015,1
698,74354,34,13692,0,5300000,0,892248,0.1841,0.1683,1
619,229498,21,28439,1,11000000,1,2753976,0.1239,0.2504,0
698,66164,41,29477,0,4700000,0,793968,0.4455,0.1689,0
676,14843,56,2658,0,900000,1,178116,0.1791,0.1979,0
725,39468,42,14010,3,1300000,0,473616,0.355,0.3643,0
633,52759,27,4998,0,1000000,0,633108,0.0947,0.6331,0
741,51658,24,5742,1,2500000,0,619896,0.1112,0.248,1
822,31618,25,8087,0,2400000,0,379416,0.2558,0.1581,1
691,56793,55,102,0,4000000,1,681516,0.0018,0.1704,1
732,23260,31,182,0,1500000,1,279120,0.0078,0.1861,1
755,27807,28,1779,0,1800000,1,333684,0.064,0.1854,1
667,72220,33,7251,2,3400000,1,866640,0.1004,0.2549,1
717,26651,31,6330,0,500000,1,319812,0.2375,0.6396,1
701,67705,50,20907,0,1900000,1,812460,0.3088,0.4276,1
707,21554,24,3025,1,1100000,0,258648,0.1403,0.2351,0
638,141336,46,15205,0,4300000,0,1696032,0.1076,0.3944,0
701,30805,36,11406,1,2000000,0,369660,0.3703,0.1848,0
739,42864,47,3139,0,1500000,0,514368,0.0732,0.3429,1
816,59776,50,18246,1,800000,0,717312,0.3052,0.8966,1
776,34919,35,14634,2,2300000,0,419028,0.4191,0.1822,1
850,53425,31,5582,0,3200000,0,641100,0.1045,0.2003,1
638,69231,35,2709,0,1700000,0,830772,0.0391,0.4887,1
769,87235,34,38461,0,7100000,0,1046820,0.4409,0.1474,1
714,78818,21,9603,0,2900000,1,945816,0.1218,0.3261,1
850,44219,50,5485,0,2600000,1,530628,0.124,0.2041,1
635,44892,37,9772,3,3400000,1,538704,0.2177,0.1584,0
632,200679,23,20865,0,3600000,0,2408148,0.104,0.6689,1
652,86676,21,38726,0,6400000,0,1040112,0.4468,0.1625,0
530,28195,21,545,0,1700000,0,338340,0.0193,0.199,0
657,52051,42,10574,0,900000,0,624612,0.2031,0.694,1
639,40091,28,9892,0,2300000,1,481092,0.2467,0.2092,0
712,45197,30,9497,0,3300000,0,542364,0.2101,0.1644,0
727,23442,39,5490,0,1600000,0,281304,0.2342,0.1758,0
850,38286,29,17014,0,2500000,1,459432,0.4444,0.1838,0
776,145354,40,57357,1,2700000,0,1744248,0.3946,0.646,1
653,69386,35,9630,2,1400000,1,832632,0.1388,0.5947,1
628,10996,34,2728,0,500000,1,131952,0.2481,0.2639,0
739,101725,21,14,2,5200000,0,1220700,0.0001,0.2347,1
594,94256,26,17371,0,7500000,0,1131072,0.1843,0.1508,0
846,39514,41,2913,1,1600000,1,474168,0.0737,0.2964,1
794,75384,28,24131,0,2200000,0,904608,0.3201,0.4112,1
662,29271,47,2912,2,600000,0,351252,0.0995,0.5854,0
562,36969,58,12458,2,300000,1,443628,0.337,1.4788,0
808,120466,41,16976,1,1300000,0,1445592,0.1409,1.112,1
690,41646,49,17350,2,2100000,1,499752,0.4166,0.238,0
799,15965,42,3199,0,300000,0,191580,0.2004,0.6386,1
572,47193,29,17828,0,3400000,0,566316,0.3778,0.1666,0
652,46762,37,13218,1,2400000,1,561144,0.2827,0.2338,0
700,100611,55,44251,0,7300000,1,1207332,0.4398,0.1654,0
703,49444,29,16525,0,1900000,0,593328,0.3342,0.3123,1
663,38065,24,12465,0,1900000,0,456780,0.3275,0.2404,0
749,91769,23,10937,1,4300000,1,1101228,0.1192,0.2561,1
614,52705,32,11973,0,4300000,0,632460,0.2272,0.1471,0
688,31256,24,4080,1,2100000,0,375072,0.1305,0.1786,0
709,98027,51,851,1,5100000,0,1176324,0.0087,0.2307,1
741,55061,37,17606,0,2900000,0,660732,0.3198,0.2278,1
756,49106,44,5211,0,1200000,1,589272,0.1061,0.4911,1
610,54543,32,9752,3,3400000,1,654516,0.1788,0.1925,0
577,25786,23,3302,2,2100000,1,309432,0.1281,0.1473,0
802,35717,21,3208,0,500000,0,428604,0.0898,0.8572,1
726,49126,25,1483,0,2700000,0,589512,0.0302,0.2183,1
640,43616,38,6631,0,2000000,0,523392,0.152,0.2617,0
824,105183,40,3869,0,7600000,1,1262196,0.0368,0.1661,1
709,55851,41,13579,0,300000,0,670212,0.2431,2.234,1
794,81874,21,723,3,1300000,0,982488,0.0088,0.7558,1
705,49297,34,20853,3,400000,1,591564,0.423,1.4789,0
850,92389,24,40181,2,1700000,0,1108668,0.4349,0.6522,1
840,62225,39,8530,0,3800000,0,746700,0.1371,0.1965,1
680,49417,39,5786,0,800000,0,593004,0.1171,0.7413,1
777,48631,23,2284,0,2600000,1,583572,0.047,0.2245,1
