Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP000264,Male,No,0,Graduate,No,8809.0,0,,360.0,1.0,Rural,Y
LP000265,Female,Yes,0,Graduate,No,10059.0,1243,195.0,360.0,1.0,Semiurban,Y
LP000266,Male,Yes,0,Graduate,No,5283.0,698,151.0,360.0,1.0,Rural,Y
LP000267,Male,Yes,0,Graduate,Yes,1404.0,924,80.0,84.0,1.0,Rural,Y
LP000268,Male,No,,Graduate,No,5026.0,0,118.0,360.0,1.0,Semiurban,Y
LP000269,Male,No,2,Graduate,Yes,4236.0,0,164.0,240.0,1.0,Semiurban,Y
LP000270,Male,Yes,0,Graduate,No,15031.0,1588,136.0,360.0,1.0,Semiurban,Y
LP000271,Male,No,1,Graduate,No,5692.0,0,,360.0,1.0,Rural,Y
LP000272,Male,No,2,Graduate,No,4687.0,0,106.0,360.0,,Urban,Y
LP000273,Male,No,1,Graduate,Yes,4222.0,0,168.0,360.0,1.0,Rural,Y
LP000274,Male,No,0,Graduate,No,7299.0,0,115.0,240.0,1.0,Semiurban,Y
LP000275,Male,Yes,0,Graduate,No,6211.0,1127,372.0,360.0,1.0,Urban,Y
LP000276,Male,No,0,Not Graduate,Yes,3737.0,0,79.0,360.0,1.0,Semiurban,Y
LP000277,Male,Yes,2,Graduate,No,7033.0,4876,395.0,360.0,1.0,Rural,Y
LP000278,Male,No,0,Not Graduate,No,4297.0,0,92.0,360.0,1.0,Rural,Y
LP000279,Female,Yes,0,Not Graduate,Yes,1267.0,581,223.0,300.0,1.0,Rural,Y
LP000280,Female,No,3+,Not Graduate,No,8963.0,0,187.0,360.0,1.0,Semiurban,Y
LP000281,Male,No,1,Not Graduate,Yes,8467.0,0,93.0,360.0,1.0,Semiurban,Y
LP000282,Male,Yes,2,Graduate,No,6767.0,1731,171.0,84.0,1.0,Rural,Y
LP000283,Male,No,0,Not Graduate,No,4603.0,0,110.0,480.0,1.0,Urban,Y
LP000284,Male,Yes,3+,Not Graduate,Yes,5749.0,1294,150.0,360.0,1.0,Urban,Y
LP000285,Male,Yes,0,Graduate,,9814.0,1531,142.0,360.0,1.0,Semiurban,Y
LP000286,Male,Yes,0,Graduate,No,4109.0,2345,117.0,360.0,1.0,Semiurban,Y
LP000287,Male,No,2,Not Graduate,No,10055.0,0,113.0,360.0,0.0,Semiurban,N
